time,Rank,Product Names,Product ID,Image ID,Stars,Reviews,Authors/Company,Edition/Console,Price_std_or_min,Max_prices
2021-01-28 23:37,1,Fine Line (Vinyl),B07ZWBNZR4,"61jxIrniZOL._AC_UL200_SR200,200_",4.6,5282,Harry Styles,Vinil,614.4,
2021-01-28 23:37,2,Harry Styles (Edición Especial) (Vinyl),B06ZY1VXRB,"71qA--zyo1L._AC_UL200_SR200,200_",4.8,5825,Harry Styles,Vinil,489.02,
2021-01-28 23:37,3,FINE LINE,B07ZWBPM15,"61uo57hXGxL._AC_UL200_SR200,200_",4.8,4976,HARRY STYLES,Audio CD,143.2,
2021-01-28 23:37,4,Red (Vinyl) [Importado],B009NT0I06,"61UYKpOGjBL._AC_UL200_SR200,200_",4.7,3542,Taylor Swift,Vinil,517.91,
2021-01-28 23:37,5,The Dark Side Of The Moon (Vinyl),B01LTHN0DG,"61hw9WloObL._AC_UL200_SR200,200_",4.9,4551,Pink Floyd,Vinil,686,
2021-01-28 23:37,6,Made in the A.M.,B015N3EYH8,"71w6zMTrt6L._AC_UL200_SR200,200_",4.8,3243,One Direction,Audio CD,99,
2021-01-28 23:37,7,Harry Styles,B071R5XZWX,"71KkhyFgrwL._AC_UL200_SR200,200_",4.8,5825,Harry Styles,Audio CD,152,
2021-01-28 23:37,8,Map Of The Soul: 7,B0833VRHN3,"71saGQCHE4L._AC_UL200_SR200,200_",4.8,6838,BTS,Audio CD,749,
2021-01-28 23:37,9,"Love Yourself: Answer (Edición Especial: Foto álbum de 116 hojas, 1 Photocard, Mini ábum de 20 páginas y 1 sticker pack)",B07F99WH5Y,"61%2BWglmWhyL._AC_UL200_SR200,200_",4.8,4192,BTS,Audio CD,568.71,
2021-01-28 23:37,10,DÉJÁ VU,B08QVFS1CY,"71%2BNlIbwEiL._AC_UL200_SR200,200_",,,CNCO,Audio CD,152,
2021-01-28 23:37,11,X 100PRE (Vinyl),B07TKNFSHS,"81NaDe6XDGL._AC_UL200_SR200,200_",4.8,588,Bad Bunny,Vinil,569.12,
2021-01-28 23:37,12,After Hours,B084XT1P28,"71ffMedtKNL._AC_UL200_SR200,200_",4.7,3842,The Weeknd,Audio CD,123,
2021-01-28 23:37,13,"Love Yourself: Her (Random cover, incl. 100-page photobook, one random photocard, 20-page minibook and one sticker pack)",B075KZGM8C,"61OTozwevnL._AC_UL200_SR200,200_",4.8,1589,BTS,Audio CD,455.01,
2021-01-28 23:37,14,Circles (Vinyl),B083P8RCQX,"81g4ZdB6btL._AC_UL200_SR200,200_",4.8,1939,Mac Miller,Vinil,702.29,
2021-01-28 23:37,15,1989 (Vinyl) [Importado],B00P2HSETA,"91Da6C9HuUL._AC_UL200_SR200,200_",4.7,6125,Taylor Swift,Vinil,449.28,
2021-01-28 23:37,16,Ultimate Sinatra (Vinyl) [Importado],B00U1Z5NAQ,"41WULGxwgEL._AC_UL200_SR200,200_",4.8,3702,Frank Sinatra,Vinil,593.71,
2021-01-28 23:37,17,Back In Black (Vinyl),B0000CF35G,"71s6glEqRyL._AC_UL200_SR200,200_",4.8,6291,AC/DC,Vinil,405.02,
2021-01-28 23:37,18,Take Me Home,B00942S4OY,"81MsyxZiaSL._AC_UL200_SR200,200_",4.7,1714,One Direction,Audio CD,99,
2021-01-28 23:37,19,POST HUMAN: SURVIVAL HORROR,B08L1L8LMJ,"717Gi3oGSGL._AC_UL200_SR200,200_",4.7,60,BRING ME THE HORIZON,Audio CD,299.11,
2021-01-28 23:37,20,Most Beautiful Moments in Life Part 2 (la portada puede variar),B0186QBZA8,"51fC4hIXGnL._AC_UL200_SR200,200_",4.7,322,BTS,Audio CD,556.57,
2021-01-28 23:37,21,Up All Night \ Take Me Home,B00KZ73VBS,"61keaLkY71L._AC_UL200_SR200,200_",4.8,442,One Direction,Audio CD,150,
2021-01-28 23:37,22,Suck It and See (Vinyl),B004XIQDYW,"51QTqyFN%2B%2BL._AC_UL200_SR200,200_",4.7,527,Arctic Monkeys,Vinil,489.43,
2021-01-28 23:37,23,"GORILLAZ PRESENTS SONG MACHINE, SEASON 1",B08HK5PNTQ,"71c0ZXV1dZL._AC_UL200_SR200,200_",4.7,596,GORILLAZ,Audio CD,266,
2021-01-28 23:37,24,Black Parade (Vinyl) [Importado],B00PCI1HCU,"A1DaPtkeBxL._AC_UL200_SR200,200_",4.8,1266,My Chemical Romance,Vinil,499.06,
2021-01-28 23:37,25,The Bends (Vinyl),B01F0XLQZE,"91Emwr85sUL._AC_UL200_SR200,200_",4.7,1600,Radiohead,Vinil,491.89,
2021-01-28 23:37,26,Random Access Memories,B00C061I3K,"61Uxg-SWExL._AC_UL200_SR200,200_",4.7,4868,Daft Punk,Audio CD,99,
2021-01-28 23:37,27,Guardians Of The Galaxy: Awesome Mix Vol. 1 [Cassette] (Audio Cassette),B00Q5F3AN8,"71%2Bt60t9HjL._AC_UL200_SR200,200_",4.8,13612,Soundtrack,Cassette,275.99,
2021-01-28 23:37,28,Boxer (Vinyl)[Importado],B000O5AYC0,"71kqZjzE0zL._AC_UL200_SR200,200_",4.7,478,The National,Vinil,383.72,
2021-01-28 23:37,29,Deftones (Vinyl) [Importado],B00009MDDS,"A1H2Sj0P78L._AC_UL200_SR200,200_",4.7,127,Deftones,Vinil,511.76,
2021-01-28 23:37,30,Chromatica,B0857BHKPW,"81Le2R1yAgL._AC_UL200_SR200,200_",4.7,6666,Lady Gaga,Audio CD,149.6,
2021-01-28 23:37,31,Live: Last Concert,B00006I0DB,"71GCUrLZybL._AC_UL200_SR200,200_",4.7,89,Selena,Audio CD,228.26,
2021-01-28 23:37,32,The Number of The Beast (Vinyl),B00LD22MM8,"81JWrGWN7LL._AC_UL200_SR200,200_",4.8,1029,Iron Maiden,Vinil,410,
2021-01-28 23:37,33,THE NEW ABNORMAL,B084NJGYQV,"81UHCi-EwAL._AC_UL200_SR200,200_",4.8,1850,THE STROKES,Audio CD,205,
2021-01-28 23:37,34,Discovery,B00015TUK0,"41RRwfo3%2B2L._AC_UL200_SR200,200_",4.8,1853,Daft Punk,Audio CD,99,
2021-01-28 23:37,35,Holiday Collection (CD),B002SQNM9A,"51gPK9W%2BnqL._AC_UL200_SR200,200_",4.6,524,Taylor Swift,Audio CD,178.85,
2021-01-28 23:37,36,Taylor Swift [Importado],B0014I4KH6,"71LVEINqZaL._AC_UL200_SR200,200_",4.7,1673,Taylor Swift,Audio CD,179.26,
2021-01-28 23:37,37,Led Zeppelin IV (Remastered Original Vinyl),B00M30T9F2,"91-CMzLgOPL._AC_UL200_SR200,200_",4.7,3659,Led Zeppelin,Vinil,551.51,
2021-01-28 23:37,38,21,B004EBT5CU,"71Ln3JLWyOL._AC_UL200_SR200,200_",4.7,12041,Adele,Audio CD,146,
2021-01-28 23:37,39,Little Dark Age (+ Audio CD),B078Y34P2N,"81ERARiTDaL._AC_UL200_SR200,200_",4.7,381,MGMT,Audio CD,99,
2021-01-28 23:37,40,Abbey Road Anniversary (1LP),B07VNS48HD,"81dUVKQDBEL._AC_UL200_SR200,200_",4.8,4348,The Beatles,Vinil,565,
2021-01-28 23:37,41,Dangerous,B00VSHH95I,"81suIsEX-ML._AC_UL200_SR200,200_",4.8,1775,Michael Jackson,Audio CD,99,
2021-01-28 23:37,42,Unplugged in Ny (Vinyl) [Importado],B000000OU2,"81vS%2BwfdozL._AC_UL200_SR200,200_",4.8,3120,Nirvana,Vinil,592.29,
2021-01-28 23:37,43,The New Abnormal (Vinyl),B084G2YBG6,"81vlYaeo%2ByL._AC_UL200_SR200,200_",4.8,1850,The Strokes,Vinil,842,
2021-01-28 23:37,44,Fearless Platinum Edition (Vinyl),B01CUF9DVY,"91xyvBQvVDL._AC_UL200_SR200,200_",4.8,452,Taylor Swift,Vinil,568.3,
2021-01-28 23:37,45,Radiohead - In Rainbows (Vinyl),B000YIXBV8,"A1MwaIeBpwL._AC_UL200_SR200,200_",4.7,1947,Radiohead,Vinil,523.64,
2021-01-28 23:37,46,Careful (Vinyl),B07JJ5WHTK,"719p-knTOwL._AC_UL200_SR200,200_",4.8,114,Boy Harsher,Vinil,511.97,
2021-01-28 23:37,47,POST HUMAN: SURVIVAL HORROR (Vinyl),B08L1SPQ5Y,"81%2B0CgQxC6L._AC_UL200_SR200,200_",4.7,60,BRING ME THE HORIZON,Vinil,616,
2021-01-28 23:37,48,Cowboys From Hell,B000002JNJ,"91gDINDQ7sL._AC_UL200_SR200,200_",4.7,618,Pantera,Audio CD,99,
2021-01-28 23:37,49,Use Your Illusion 2 (Vinyl) [Importado],B000057DOV,"51CDFqfhHYL._AC_UL200_SR200,200_",4.7,1760,GUNS N'ROSES,Vinil,542.49,
2021-01-28 23:37,50,Made (The Album),B01MRWLL1Y,"515rC0XCZOL._AC_UL200_SR200,200_",4.8,28,Bigbang,Audio CD,1104.24,
